Timestamp,What is your current status?,Gender,Age group," How often do you use AI tools (like chatGPT, claude,..)?", what do you mainly use AI tools or?,"On average, how much time do you spend using AI tools per day?","How much do AI tools help you understand topics? ( 1= Not helpful , 5= Extremely helpful )","After using AI tools, how often do you feel you actually learned something?",Do you think AI tools make studying easier or just faster without real understanding?," How much do AI tools affect your study effort? (1 = i still work very hard , 5 = i rely heavily on AI instead of thinking myself)","After using AI tools, your productivity is:", Do AI tools make you finish tasks faster?," If AI tools disappeared tomorrow, your performance would:", Do you think students rely too much on AI tools?
4/5/2026 19:17:08,University student,Female,18-22,Very often (daily),"studying/coding, writing/summaries, general questions",3 hrs+,4,rarely,Both equally,3,Better,sometimes,Get worse,Strongly agree
4/5/2026 19:18:07,University student,Female,18-22,Very often (daily),studying/coding,3 hrs+,5,Always,Both equally,2,Much better,Yes,Get worse,Strongly agree
4/5/2026 19:19:23,School student,Female,18-22,Sometimes (1–2 times/week),"studying/coding, general questions",3 hrs+,3,Often,Both equally,3,Better,sometimes,Get worse,Strongly agree
4/5/2026 19:21:54,University student,Female,18-22,Sometimes (1–2 times/week),studying/coding,10–30 min,3,Sometimes,Mostly reduces effort (less thinking),2,Much worse,Yes,Stay the same,Strongly agree
4/5/2026 19:22:18,University student,Male,18-22,Very often (daily),"studying/coding, writing/summaries, general questions",3 hrs+,5,Always,Mostly improves understanding,3,Much better,Yes,Get worse,Strongly agree
4/5/2026 19:22:31,University student,Male,18-22,Often (3–5 times/week),"studying/coding, writing/summaries",10–30 min,5,Always,Mostly reduces effort (less thinking),4,Better,sometimes,Get worse,Strongly agree
4/5/2026 19:22:41,University student,Male,18-22,Very often (daily),"studying/coding, writing/summaries, general questions",10–30 min,5,Often,Both equally,5,Worse,Yes,Get worse,Strongly agree
4/5/2026 19:24:36,University student,Female,18-22,Often (3–5 times/week),studying/coding,10–30 min,4,Often,Mostly improves understanding,2,Worse,sometimes,Stay the same,Agree
4/5/2026 19:24:46,School student,Female,under 18,Often (3–5 times/week),general questions,10–30 min,5,Often,Both equally,2,Same,Yes,Stay the same,Neutral
4/5/2026 19:25:13,University student,Female,18-22,Very often (daily),studying/coding,10–30 min,4,Often,Both equally,3,Same,Yes,Get worse,Strongly agree
